sx-stackoverflow DISABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 5.527347803115845, 0.004942
dblp-cite DISABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.1990523338317871, 0.000222
dbpedia-team DISABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.2392721176147461, 0.000901
dimacs9-E DISABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.5005862712860107, 0.00374
douban DISABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.18426227569580078, 0.000292
facebook-wosn-wall DISABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.1773388385772705, 0.000362
github DISABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.19353151321411133, 0.000345
komarix-imdb DISABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.3126819133758545, 0.000596
moreno_blogs DISABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.1691603660583496, 0.000247
opsahl-usairport DISABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.1675117015838623, 0.000279
patentcite DISABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 2.4891812801361084, 0.004972
petster-friendships-dog DISABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.5984244346618652, 0.002835
roadNet-CA DISABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.29833555221557617, 0.002103
subelj_cora DISABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.17073988914489746, 0.000326
sx-mathoverflow DISABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.18066954612731934, 0.000254
youtube-groupmemberships DISABLED, CM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.19830060005187988, 0.000389
sx-stackoverflow DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 1.1285998821258545, 0.003615
dblp-cite DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.1988391876220703, 0.000258
dbpedia-team DISABLED, EDGE_ONLY, ENABLED, 5, PUSH, ENABLED, UNFUSED_BOOLMAP, None, 0.26441431045532227, 0.000545
