roadNet-CA ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.3805363178253174, 0.000174
subelj_cora ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.3224186897277832, 0.000797
sx-mathoverflow ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.36943936347961426, 0.006265
youtube-groupmemberships ENABLED, WM, None, 0, PULL, DISABLED, UNFUSED_BITMAP, BITMAP, 0.356931209564209, 0.001205
dblp-cite ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, ENABLED, FUSED, None, 0.3680267333984375, 0.000626
dimacs9-E ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, ENABLED, FUSED, None, 0.5905184745788574, 0.000101
douban ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, ENABLED, FUSED, None, 0.42296433448791504, 9.6e-05
facebook-wosn-wall ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, ENABLED, FUSED, None, 0.36481499671936035, 0.003591
komarix-imdb ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, ENABLED, FUSED, None, 0.6562328338623047, 0.002225
moreno_blogs ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, ENABLED, FUSED, None, 0.36905574798583984, 0.000926
opsahl-usairport ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, ENABLED, FUSED, None, 0.3731260299682617, 0.001819
petster-friendships-dog ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, ENABLED, FUSED, None, 0.6153454780578613, 7e-05
subelj_cora ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, ENABLED, FUSED, None, 0.5067827701568604, 0.000996
sx-mathoverflow ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, ENABLED, FUSED, None, 0.44895195960998535, 0.004003
youtube-groupmemberships ENABLED, EDGE_ONLY, ENABLED, 16, PUSH, ENABLED, FUSED, None, 0.34731125831604004, 0.001031
dblp-cite ENABLED, EDGE_ONLY, ENABLED, 20, PUSH, ENABLED, FUSED, None, 0.22783756256103516, 0.000681
dimacs9-E ENABLED, EDGE_ONLY, ENABLED, 20, PUSH, ENABLED, FUSED, None, 0.477783203125, 9.8e-05
douban ENABLED, EDGE_ONLY, ENABLED, 20, PUSH, ENABLED, FUSED, None, 0.2086622714996338, 9.8e-05
facebook-wosn-wall ENABLED, EDGE_ONLY, ENABLED, 20, PUSH, ENABLED, FUSED, None, 0.23786330223083496, 6.8e-05
komarix-imdb ENABLED, EDGE_ONLY, ENABLED, 20, PUSH, ENABLED, FUSED, None, 0.35009193420410156, 0.002332
moreno_blogs ENABLED, EDGE_ONLY, ENABLED, 20, PUSH, ENABLED, FUSED, None, 0.19951653480529785, 0.000208
opsahl-usairport ENABLED, EDGE_ONLY, ENABLED, 20, PUSH, ENABLED, FUSED, None, 0.19668889045715332, 0.000355
petster-friendships-dog ENABLED, EDGE_ONLY, ENABLED, 20, PUSH, ENABLED, FUSED, None, 0.41988468170166016, 7.3e-05
subelj_cora ENABLED, EDGE_ONLY, ENABLED, 20, PUSH, ENABLED, FUSED, None, 0.21013498306274414, 0.000356
sx-mathoverflow ENABLED, EDGE_ONLY, ENABLED, 20, PUSH, ENABLED, FUSED, None, 0.2396714687347412, 0.004213
youtube-groupmemberships ENABLED, EDGE_ONLY, ENABLED, 20, PUSH, ENABLED, FUSED, None, 0.2247161865234375, 0.00098
sx-stackoverflow ENABLED, TWC, None, 0, PUSH, ENABLED, FUSED, None, 0.6575570106506348, 0.004802
dblp-cite ENABLED, TWC, None, 0, PUSH, ENABLED, FUSED, None, 0.19948387145996094, 0.000414
dbpedia-team ENABLED, TWC, None, 0, PUSH, ENABLED, FUSED, None, 0.1977541446685791, 0.000124
dimacs9-E ENABLED, TWC, None, 0, PUSH, ENABLED, FUSED, None, 0.8341264724731445, 0.05228
douban ENABLED, TWC, None, 0, PUSH, ENABLED, FUSED, None, 0.180647611618042, 0.000402
