TrainEpoch:  2 , Graph:  ['dblp-cite'] , Schedule:  2 , TrainLoss:  0.7791872024536133
TrainEpoch:  2 , Graph:  ['dblp-cite'] , Schedule:  3 , TrainLoss:  0.8305509090423584
ValidEpoch:  2 , Graph:  ['dblp-cite'] , Schedule :  0 , ValidLoss:  1.0698354244232178
--- Epoch 2 : Train 0.9139414513483644 Valid 0.9120846912264824 ---
save over.
TrainEpoch:  3 , Graph:  ['komarix-imdb'] , Schedule:  0 , TrainLoss:  0.9625588655471802
TrainEpoch:  3 , Graph:  ['komarix-imdb'] , Schedule:  1 , TrainLoss:  0.8430228233337402
TrainEpoch:  3 , Graph:  ['komarix-imdb'] , Schedule:  2 , TrainLoss:  0.8034127354621887
TrainEpoch:  3 , Graph:  ['komarix-imdb'] , Schedule:  3 , TrainLoss:  0.3657042384147644
ValidEpoch:  3 , Graph:  ['komarix-imdb'] , Schedule :  0 , ValidLoss:  0.7664483785629272
TrainEpoch:  3 , Graph:  ['roadNet-CA'] , Schedule:  0 , TrainLoss:  0.8314894437789917
TrainEpoch:  3 , Graph:  ['roadNet-CA'] , Schedule:  1 , TrainLoss:  1.0618927478790283
TrainEpoch:  3 , Graph:  ['roadNet-CA'] , Schedule:  2 , TrainLoss:  1.0913461446762085
TrainEpoch:  3 , Graph:  ['roadNet-CA'] , Schedule:  3 , TrainLoss:  1.0200345516204834
ValidEpoch:  3 , Graph:  ['roadNet-CA'] , Schedule :  0 , ValidLoss:  0.8720516562461853
TrainEpoch:  3 , Graph:  ['opsahl-usairport'] , Schedule:  0 , TrainLoss:  0.9632198810577393
TrainEpoch:  3 , Graph:  ['opsahl-usairport'] , Schedule:  1 , TrainLoss:  1.0077563524246216
TrainEpoch:  3 , Graph:  ['opsahl-usairport'] , Schedule:  2 , TrainLoss:  0.969833493232727
