roadNet-CA DISABLED, TWCE, None, 0, PUSH, ENABLED, FUSED, None, 0.2942214012145996, 0.006851
youtube-u-growth DISABLED, TWCE, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BOOLMAP, 1.0671544075012207, 0.018241
dblp_coauthor DISABLED, TWCE, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BOOLMAP, 1.965416669845581, 0.018803
soc-LiveJournal1 DISABLED, TWCE, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BOOLMAP, 9.06418228149414, 0.081249
orkut-links DISABLED, TWCE, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BOOLMAP, 16.292158603668213, 0.110645
roadNet-CA DISABLED, TWCE, None, 0, PULL, DISABLED, UNFUSED_BOOLMAP, BOOLMAP, 0.40059804916381836, 0.007194
youtube-u-growth DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.0823469161987305, 0.014167
dblp_coauthor DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.8846492767333984, 0.015545
soc-LiveJournal1 DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 8.589275598526001, 0.073713
orkut-links DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 15.907961130142212, 0.111592
roadNet-CA DISABLED, CM, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.33664822578430176, 0.004015
youtube-u-growth ENABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5838348865509033, 0.031458
dblp_coauthor ENABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.5224509239196777, 0.020478
soc-LiveJournal1 ENABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 2.2654104232788086, 0.148776
orkut-links ENABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 3.346989631652832, 0.205179
roadNet-CA ENABLED, CM, None, 0, PUSH, DISABLED, UNFUSED_BITMAP, None, 0.2606313228607178, 0.00389
youtube-u-growth DISABLED, WM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.3515512943267822, 0.045827
dblp_coauthor DISABLED, WM, None, 0, PULL, ENABLED, FUSED, BITMAP, 1.9000942707061768, 0.016792
soc-LiveJournal1 DISABLED, WM, None, 0, PULL, ENABLED, FUSED, BITMAP, 8.827833652496338, 0.102791
orkut-links DISABLED, WM, None, 0, PULL, ENABLED, FUSED, BITMAP, 16.315295934677124, 0.116933
roadNet-CA DISABLED, WM, None, 0, PULL, ENABLED, FUSED, BITMAP, 0.33730649948120117, 0.003668
youtube-u-growth ENABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.5124280452728271, 0.025018
dblp_coauthor ENABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.5514302253723145, 0.023123
soc-LiveJournal1 ENABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 2.336700677871704, 0.155834
orkut-links ENABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 2.8088533878326416, 0.16083
roadNet-CA ENABLED, TWC, None, 0, PUSH, DISABLED, UNFUSED_BOOLMAP, None, 0.2826848030090332, 0.005433
